Warehouse,Customer Name,Customer Code,SKU Name,SKU Code,UOM - Sale,Pack Size,SKU Item Selling Price,ASP,FG Dispatch Qty,FG Qty Sold,Revenue,IN-take Cost / Packet ABP,In-take Margin (IM)% - WO FM,FM,FM%,In-take Margin (IM)% - With FM,PPL,DC Dump,RTV Dump,Stock Loss Dump,Transit/damage Loss,Production PPL%,Stock Adjustment %,DC Dump%,RTV Dump %,Stock Loss Dump %,Transit/damage Loss %,Total Production PPL% & Dump%,PM%,Labour / Packet,Transport / Packet,Packaging / Packet,Labelling / Packet,Utility / Packet,Consumables / Packet,Ops Cost / Packet,Ops Cost / Packet - Supply Net Of RTV,Ops Cost %,OM%,Report Date
Kolkata,Swiggy KOL - PJTJ,SPK,Pomegranate Arils,,pack,0.2KG,90.0,90.0,29,29,2610.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,100.0,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Pineapple Peeled (Ananas) - Whole,,pack,350-400 GMs,110.0,0.0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Pineapple Chunks,,pack,250 GMs,87.0,0.0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Chopped Ginger [Adrak],,pack,0.1KG,27.0,0.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Shelled American Sweet Corn Outsourced,,pack,200g,38.0,38.0,12,12,456.0,22.8,40.0,0.0,0.0,40.0,6.6,0.0,0.0,0.0,0.0,17.4,,0.0,0.0,0.0,0.0,17.4,22.6,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,22.6,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Peeled Baby Corn,,pack,0.25KG,40.0,40.0,17,17,680.0,25.0,37.5,0.0,0.0,37.5,5.9,0.0,0.0,0.0,0.0,14.8,,0.0,0.0,0.0,0.0,14.8,22.8,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,22.8,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Cauliflower florets,,pack,200gms,32.0,32.0,5,5,160.0,15.0,53.1,0.0,0.0,53.1,22.5,0.0,0.0,0.0,0.0,70.3,,0.0,0.0,0.0,0.0,70.3,-17.2,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-17.2,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Peeled Garlic,,pack,0.1 KG,25.0,25.0,18,18,450.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,100.0,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Diced Lady Finger,,pack,0.2KG,31.0,31.0,2,2,62.0,9.1,70.6,0.0,0.0,70.6,4.5,635.7,0.0,0.0,0.0,14.5,,1025.3,0.0,0.0,0.0,1039.8,-969.2,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-969.2,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Sliced Pumpkin Red,,pack,0.25KG,25.0,25.0,28,28,700.0,6.6,73.6,0.0,0.0,73.6,8.5,0.0,0.0,0.0,0.0,34.0,,0.0,0.0,0.0,0.0,34.0,39.6,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,39.6,2025-04-29
Kolkata,Swiggy KOL - PJTJ,SPK,Moong Sprouts,,pack,0.2KG,24.0,24.0,2,2,48.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,100.0,2025-04-29
